address,ins,outs,inAmount,outAmount,timeBetween,isContract,sybil
0x0966a53f2533eaf01d0bb2fa0e2274f3002287f1,0,1,0,0,0,0,1
0x7f268357a8c2552623316e2562d90e642bb538e5,0,1,0,0.06,0,0,1
0x4fabb145d64652a948d72533023f6e7a623c7c53,0,1,0,0,0,1,0
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,1,0,0,0,1,0
0x090d4613473dee047c3f2706764f49e0821d256e,0,1,0,0,0,1,0
0x4b091866ac423ecdacd8fceb5fe047cb972ed93e,0,1,0,0,0,0,1
0x084b1c3c81545d370f3634392de611caabff8148,0,3,0,0,872354,1,1
0xa5409ec958c83c3f309868babaca7c86dcb077c1,0,1,0,0,0,1,1
0xb8901acb165ed027e32754e0ffe830802919727f,0,1,0,0.01,0,0,1
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,4,0,0.302,980616,1,0
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0,1,0,0.000,0,1,1
0xa462d0e6bb788c7807b1b1c96992ce1f7069e195,0,1,0,0,0,0,0
0xc1f099630feb3a4937c869c42411b123279db344,1,0,0.019,0,0,0,0
0xecbbae02f5d24740f9da6ca9e564fd62a3190f74,0,1,0,0.01,0,0,1
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0,1,0,0.04,0,1,0
0x28b6683f3b4169667745ae8b264cf7857d5b506f,0,2,0,0,31,0,1
0xfd1860c9d602236214652a21753731f9acd2c362,0,1,0,0,0,0,1
0x28c6c06298d514db089934071355e5743bf21d60,1,0,0.293,0,0,0,1
0x5bd25d2f4f26bc82a34de016d34612a28a0cd492,0,6,0,0,626276,0,1
0x5e22a0a7d29626ff40fdb57e88e8eea07372ad3c,0,1,0,0,0,0,0
0xc102d2544a7029f7ba04beb133deadaa57fdf6b4,0,1,0,0.000,0,0,1
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0,1,0,0.002,0,1,1
0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,1,0,0.580,0,0,0,1
0x1ef9f811b8af8cebc717f9cfd51b738f595d89a1,0,2,0,0.614,2905727,0,1
0xc9610be2843f1618edfedd0860dc43551c727061,1,0,0.404,0,0,0,1
0x9a54fe35d41bc7c8f7071abf0ccd952505e29ceb,0,3,0,0,977870,0,0
0x92e130d5ed0f14199edfa050071116ca60e99aa5,0,10,0,0,89,0,1
0xdac17f958d2ee523a2206206994597c13d831ec7,0,4,0,0,1439915,1,1
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0,1,0,0.001,0,1,1
0x3818eff63418e0a0ba3980aba5ff388b029b6d90,0,3,0,0,1265248,0,1
0x9008d19f58aabd9ed0d60971565aa8510560ab41,0,6,0,0,850,0,0
0x10fb0f8860c11cccdf85f2f56e3b8e1ddeb2ba3f,0,1,0,0,0,0,1
0x881d40237659c251811cec9c364ef91dc08d300c,0,7,0,0.78,273593,1,1
0x65b49f7aee40347f5a90b714be4ef086f3fe5e2c,0,4,0,5.777,7857,0,0
0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0,2,0,0.079,261141,1,1
0xdd1c843a0e960724aa00fe96d9f7662cd932d01f,0,1,0,0,0,0,1
0xe8fee61610f14d43b25953a93b576746f9cd9173,0,1,0,0,0,0,1
0x5bd25d2f4f26bc82a34de016d34612a28a0cd492,0,4,0,0,62652,0,1
0x3974d816a969908a82428384c728fbd8faffbfe1,2,0,29.91,0,475,0,1
0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0,6,0,0.009,357078,1,1
0x26b37eb4bb336ac1e28c7a2db001f9742ef1aac6,1,0,3.076,0,0,0,0
0x26b37eb4bb336ac1e28c7a2db001f9742ef1aac6,0,1,0,3.090,0,0,0
0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0,1,0,0.024,0,1,1
0x5f54e90b296174709bc00cfc0cd2b69cf55b2064,0,1,0,2.0,0,0,0
0x3dcd44e97ff9fd6c449ed479aee9bbdaee963ba3,0,22,0,6.601,25,0,1
0x7f268357a8c2552623316e2562d90e642bb538e5,0,1,0,0.001,0,0,1
0xa18607ca4a3804cc3cd5730eafefcc47a7641643,0,2,0,0,3667,0,1
0x737901bea3eeb88459df9ef1be8ff3ae1b42a2ba,0,2,0,0,2810200,1,1
0xabea9132b05a70803a4e85094fd0e1800777fbef,0,3,0,0.014,6150502,1,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,2,0,0.05,75,1,0
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,14,0,1.1,226327,1,1
0xd6a5ab46ead26f49b03bbb1f9eb1ad5c1767974a,0,1,0,0,0,0,1
0x6aba1623ea906d1164cbb007e764ebde2514a2ba,0,12,0,0,5583,0,1
0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,0,2,0,0,364380,0,0
0x915bf22e018e7b57b06cb2f0447a95e258d3f9d3,0,3,0,0.005,357,0,1
0xbf58264108f3ee2b444b8229f384ecb0ba86c21d,0,1,0,3.076,0,0,0
